Date,SP500,Crude_Oil,US_10Y_Yield,Copper,Steel_PPI,CPI,Unemployment_Rate
2011-01-01,1286.1199951171875,92.19000244140625,3.378000020980835,4.451000213623047,220.4,221.187,9.1
2011-02-01,1327.219970703125,96.97000122070312,3.4140000343322754,4.478000164031982,239.8,221.898,9.0
2011-03-01,1325.8299560546875,106.72000122070312,3.4539999961853027,4.300000190734863,248.1,223.046,9.0
2011-04-01,1363.6099853515625,113.93000030517578,3.2960000038146973,4.165500164031982,257.3,224.093,9.1
2011-06-01,1320.6400146484375,95.41999816894531,3.1579999923706055,4.271999835968018,250.3,224.806,9.1
2011-07-01,1292.280029296875,95.69999694824219,2.805000066757202,4.473999977111816,248.0,225.395,9.0
2011-08-01,1218.8900146484375,88.80999755859375,2.2179999351501465,4.186999797821045,249.3,226.106,9.0
2011-09-01,1131.4200439453125,79.19999694824219,1.9240000247955322,3.1449999809265137,247.4,226.597,9.0
2011-10-01,1253.300048828125,93.19000244140625,2.174999952316284,3.628999948501587,243.7,226.75,8.8
2011-11-01,1246.9599609375,100.36000061035156,2.068000078201294,3.562999963760376,239.6,227.169,8.6
2011-12-01,1257.5999755859375,98.83000183105469,1.871000051498413,3.43149995803833,238.4,227.223,8.5
2012-02-01,1365.6800537109375,107.06999969482422,1.9769999980926514,3.870500087738037,240.2,228.329,8.3
2012-03-01,1408.469970703125,103.0199966430664,2.2160000801086426,3.8239998817443848,236.7,228.807,8.2
2012-05-01,1310.3299560546875,86.52999877929688,1.5809999704360962,3.362499952316284,243.3,228.713,8.2
2012-06-01,1362.1600341796875,84.95999908447266,1.659000039100647,3.490000009536743,232.4,228.524,8.2
2012-08-01,1406.5799560546875,96.47000122070312,1.562000036239624,3.4539999961853027,225.9,229.918,8.1
2012-09-01,1440.6700439453125,92.19000244140625,1.6369999647140503,3.7730000019073486,227.4,231.015,7.8
2012-10-01,1412.1600341796875,86.23999786376953,1.6859999895095825,3.5269999504089355,222.3,231.638,7.8
2012-11-01,1416.1800537109375,88.91000366210938,1.6059999465942383,3.629499912261963,221.5,231.249,7.7
2012-12-01,1426.18994140625,91.81999969482422,1.75600004196167,3.6410000324249268,221.6,231.221,7.9
2013-01-01,1498.1099853515625,97.48999786376953,1.9850000143051147,3.7235000133514404,219.3,231.679,8.0
2013-02-01,1514.6800537109375,92.05000305175781,1.8880000114440918,3.5274999141693115,219.0,232.937,7.7
2013-03-01,1569.18994140625,97.2300033569336,1.8519999980926514,3.3949999809265137,218.7,232.282,7.5
2013-04-01,1597.5699462890625,93.45999908447266,1.6749999523162842,3.1875,218.0,231.797,7.6
2013-05-01,1630.739990234375,91.97000122070312,2.1640000343322754,3.2890000343322754,216.1,231.893,7.5
2013-06-01,1606.280029296875,96.55999755859375,2.4779999256134033,3.05049991607666,215.8,232.445,7.5
2013-07-01,1685.72998046875,105.02999877929688,2.5929999351501465,3.118499994277954,217.9,232.9,7.3
2013-08-01,1632.969970703125,107.6500015258789,2.749000072479248,3.2249999046325684,217.2,233.456,7.2
2013-10-01,1756.5400390625,96.37999725341797,2.5420000553131104,3.2945001125335693,218.1,233.669,7.2
2013-11-01,1805.81005859375,92.72000122070312,2.740999937057495,3.2304999828338623,221.6,234.1,6.9
2014-01-01,1782.5899658203125,97.48999786376953,2.6679999828338623,3.2204999923706055,223.1,235.288,6.6
2014-02-01,1859.449951171875,102.58999633789062,2.6579999923706055,3.2385001182556152,224.3,235.547,6.7
2014-03-01,1872.3399658203125,101.58000183105469,2.7230000495910645,3.0464999675750732,221.3,236.028,6.7
2014-04-01,1883.949951171875,99.73999786376953,2.6480000019073486,3.0295000076293945,225.5,236.468,6.2
2014-05-01,1923.5699462890625,102.70999908447266,2.4570000171661377,3.135999917984009,227.2,236.918,6.3
2014-07-01,1930.6700439453125,98.16999816894531,2.555999994277954,3.2230000495910645,228.5,237.498,6.2
2014-08-01,2003.3699951171875,95.95999908447266,2.3429999351501465,3.134999990463257,231.2,237.46,6.1
2014-09-01,1972.2900390625,91.16000366210938,2.507999897003174,3.005500078201294,230.6,237.477,5.9
2014-10-01,2018.050048828125,80.54000091552734,2.3350000381469727,3.061000108718872,228.9,237.43,5.7
2014-11-01,2067.56005859375,66.1500015258789,2.194000005722046,2.859999895095825,227.7,236.983,5.8
2014-12-01,2058.89990234375,53.27000045776367,2.1700000762939453,2.8385000228881836,224.2,236.252,5.6
2015-01-01,1994.989990234375,48.2400016784668,1.6749999523162842,2.5280001163482666,220.0,234.747,5.7
2015-04-01,2085.510009765625,59.630001068115234,2.0460000038146973,2.8864998817443848,199.8,236.222,5.4
2015-05-01,2107.389892578125,60.29999923706055,2.0950000286102295,2.759500026702881,196.8,237.001,5.6
2015-06-01,2063.110107421875,59.470001220703125,2.3350000381469727,2.623500108718872,196.4,237.657,5.3
2015-07-01,2103.840087890625,47.119998931884766,2.2049999237060547,2.367500066757202,194.2,238.034,5.2
2015-08-01,1972.1800537109375,49.20000076293945,2.200000047683716,2.3380000591278076,192.8,238.033,5.1
2015-09-01,1920.030029296875,45.09000015258789,2.059999942779541,2.3454999923706055,190.4,237.498,5.0
2015-10-01,2079.360107421875,46.59000015258789,2.1510000228881836,2.313499927520752,186.0,237.733,5.0
2015-12-01,2043.93994140625,37.040000915527344,2.2690000534057617,2.125499963760376,176.2,237.761,5.0
2016-01-01,1940.239990234375,33.619998931884766,1.930999994277954,2.063999891281128,173.9,237.652,4.8
2016-02-01,1932.22998046875,33.75,1.7400000095367432,2.128499984741211,170.3,237.336,4.9
2016-03-01,2059.739990234375,38.34000015258789,1.7860000133514404,2.18149995803833,173.7,238.08,5.0
2016-04-01,2065.300048828125,45.91999816894531,1.819000005722046,2.2790000438690186,181.4,238.992,5.1
2016-06-01,2098.860107421875,48.33000183105469,1.4880000352859497,2.194499969482422,193.6,240.222,4.9
2016-07-01,2173.60009765625,41.599998474121094,1.4579999446868896,2.2204999923706055,198.2,240.101,4.8
2016-08-01,2170.949951171875,44.70000076293945,1.5679999589920044,2.069499969482422,209.8,240.545,4.9
2016-09-01,2168.27001953125,48.2400016784668,1.6080000400543213,2.2019999027252197,209.8,241.176,5.0
2016-10-01,2126.14990234375,46.86000061035156,1.8339999914169312,2.200500011444092,208.7,241.741,4.9
2016-11-01,2198.81005859375,49.439998626708984,2.368000030517578,2.621500015258789,208.8,242.026,4.7
2016-12-01,2238.830078125,53.720001220703125,2.446000099182129,2.497499942779541,206.5,242.637,4.7
2017-02-01,2363.639892578125,54.0099983215332,2.3580000400543213,2.7039999961853027,219.6,244.006,4.6
2017-03-01,2362.719970703125,50.599998474121094,2.3959999084472656,2.6465001106262207,222.3,243.892,4.4
2017-04-01,2384.199951171875,49.33000183105469,2.2820000648498535,2.5964999198913574,224.3,244.193,4.4
2017-05-01,2411.800048828125,48.31999969482422,2.196000099182129,2.5769999027252197,229.3,244.004,4.4
2017-06-01,2423.409912109375,46.040000915527344,2.302000045776367,2.6989998817443848,230.4,244.163,4.3
2017-07-01,2470.300048828125,50.16999816894531,2.2920000553131104,2.888000011444092,242.9,244.243,4.3
2017-08-01,2471.64990234375,47.22999954223633,2.121000051498413,3.0789999961853027,219.8,245.183,4.4
2017-09-01,2519.360107421875,51.66999816894531,2.3259999752044678,2.9375,219.0,246.435,4.3
2017-11-01,2647.580078125,57.400001525878906,2.4170000553131104,3.0369999408721924,215.0,247.284,4.2
2017-12-01,2673.610107421875,60.41999816894531,2.4049999713897705,3.2795000076293945,216.3,247.805,4.1
2018-01-01,2823.81005859375,64.7300033569336,2.7200000286102295,3.184000015258789,211.5,248.859,4.0
